year,month,CPI,Diesel,THB_USD
2020,1,103.01,29.711,33.24
2020,2,104.1,29.165,32.674
2020,3,104.79,29.897,33.252
2020,4,105.15,29.94,33.821
2020,5,106.62,32.035,34.416
2020,6,107.58,34.273,34.972
2020,7,107.41,34.94,36.344
2020,8,100.4214512,34.940,35.789
2020,9,100.419772,20.09504688,29.899202
2020,10,100.5297677,20.43288139,29.81418786
2020,11,100.3330711,20.3202817,29.69584186
2020,12,100.1780429,20.49204606,29.52749293
2021,1,100.1860476,20.07125206,29.13349762
2021,2,100.171046,20.01710208,29.16681778
2021,3,99.99105303,19.69575541,29.1917822
2021,4,99.91941445,19.08534605,29.31842241
2021,5,100.3327774,19.67262678,29.40175795
2021,6,100.5778026,19.73260468,29.16007097
2021,7,100.6228151,19.62485475,29.28838092
2021,8,100.7294941,19.18654799,29.26336796
2021,9,100.7278149,19.26375964,29.38669493
2021,10,100.8378106,19.60159416,29.30168078
2021,11,100.6411141,19.48899446,29.18333479
2021,12,100.4860859,19.66075882,29.01498586
2022,1,100.4940905,19.23996483,28.62099055
2022,2,100.4790889,19.18581484,28.65431071
2022,3,100.299096,18.86446817,28.67927513
2022,4,100.2274574,18.25405881,28.80591534
2022,5,100.6408203,18.84133955,28.88925088
2022,6,100.8858455,18.90131744,28.6475639
2022,7,100.930858,18.79356752,28.77587385
2022,8,101.0375371,18.35526076,28.75086088
2022,9,101.0358579,18.4324724,28.87418785
2022,10,101.1458536,18.77030692,28.78917371
2022,11,100.949157,18.65770723,28.67082772
2022,12,100.7941288,18.82947159,28.50247879
2023,1,100.8021335,18.40867759,28.10848348
2023,2,100.7871319,18.35452761,28.14180364
2023,3,100.6071389,18.03318094,28.16676806
2023,4,100.5355003,17.42277158,28.29340826
2023,5,100.9488633,18.01005231,28.37674381
2023,6,101.1938885,18.07003021,28.13505682
2023,7,101.2389009,17.96228028,28.26336678
2023,8,101.34558,17.52397352,28.23835381
2023,9,101.3439008,17.60118517,28.36168078
2023,10,101.4538965,17.93901969,28.27666664
2023,11,101.2572,17.82641999,28.15832065
2023,12,101.1021718,17.99818435,27.98997171
2024,1,101.1101764,17.57739036,27.59597641
2024,2,101.0951748,17.52324037,27.62929657
2024,3,100.9151818,17.2018937,27.65426098
2024,4,100.8435433,16.59148434,27.78090119
2024,5,101.2569062,17.17876507,27.86423673
2024,6,101.5019314,17.23874297,27.62254975
2024,7,101.5469439,17.13099304,27.75085971
2024,8,101.653623,16.69268628,27.72584674
2024,9,101.6519437,16.76989793,27.84917371
2024,10,101.7619395,17.10773245,27.76415957
2024,11,101.5652429,16.99513275,27.64581357
2024,12,101.4102147,17.16689711,27.47746464
2025,1,101.4182193,16.74610312,27.08346933
2025,2,101.4032177,16.69195313,27.11678949
2025,3,101.2232248,16.37060647,27.14175391
2025,4,101.1515862,15.7601971,27.26839412
2025,5,101.5649492,16.34747784,27.35172966
2025,6,101.8099743,16.40745573,27.11004268
2025,7,101.8549868,16.29970581,27.23835264
2025,8,101.9616659,15.86139905,27.21333967
2025,9,101.9599867,15.9386107,27.33666664
2025,10,102.0699824,16.27644521,27.2516525
2025,11,101.8732858,16.16384552,27.1333065
2025,12,101.7182576,16.33560988,26.96495757
2026,1,101.7262623,15.91481588,26.57096226
2026,2,101.7112607,15.8606659,26.60428242
2026,3,101.5312677,15.53931923,26.62924684
