year,month,CPI,Diesel,THB_USD,price
2545,1,69.3,11.48,44.0215,3.89
2545,2,69.4,11.83,43.8204,4.02
2545,3,69.5,12.33,43.3876,4.24
2545,4,69.9,13.42,43.4182,4.24
2545,5,70.0,13.47,42.7939,4.36
2545,6,69.8,12.92,42.1511,4.35
2545,7,69.8,12.79,41.2049,4.25
2545,8,69.8,13.12,42.1784,4.16
2545,9,70.1,13.78,42.8223,3.98
2545,10,70.4,14.5,43.6571,4.22
2545,11,70.2,13.9,43.3176,4.17
2545,12,70.2,13.94,43.2767,4.12
2546,1,70.8,14.65,42.7711,4.2
2546,2,70.7,14.87,42.8767,4.22
2546,3,70.7,14.79,42.7501,4.54
2546,4,71.0,14.66,42.8793,4.47
2546,5,71.3,14.01,42.1477,4.56
2546,6,71.0,12.84,41.6548,4.57
2546,7,71.0,13.03,41.7772,4.72
2546,8,71.4,13.64,41.6651,4.72
2546,9,71.3,13.63,40.497,4.4
2546,10,71.4,13.77,39.7279,4.5
2546,11,71.5,14.08,39.9048,4.46
2546,12,71.5,14.39,39.7113,4.4
2547,1,71.8,14.55,39.0928,4.36
2547,2,72.3,14.59,39.0964,4.03
2547,3,72.5,14.59,39.4517,4.45
2547,4,72.8,14.59,39.4415,5.71
2547,5,73.1,14.59,40.5678,6.48
2547,6,73.3,14.59,40.8035,6.63
2547,7,73.4,14.59,40.9353,5.71
2547,8,73.6,14.59,41.5032,4.69
2547,9,73.8,14.59,41.471,4.18
2547,10,73.8,14.59,41.3138,4.35
2547,11,73.6,14.59,40.3416,4.4
2547,12,73.6,14.59,39.2197,4.95
2548,1,73.6,14.59,38.7502,5.01
2548,2,74.0,14.74,38.4796,4.96
2548,3,74.8,16.06,38.6061,4.97
2548,4,75.3,18.19,39.5287,4.83
2548,5,75.8,18.19,39.8378,5.02
2548,6,76.0,19.19,40.9221,4.81
2548,7,77.2,22.37,41.7628,5.05
2548,8,77.7,22.9,41.1914,4.89
2548,9,78.2,23.84,41.0518,4.73
2548,10,78.5,24.05,40.9075,4.74
2548,11,77.9,22.96,41.124,4.73
2548,12,77.8,23.01,41.0747,4.74
2549,1,78.0,24.17,39.6158,4.82
2549,2,78.1,24.42,39.4094,4.78
2549,3,79.0,25.35,38.9776,4.7
2549,4,79.9,26.19,37.9933,5.18
2549,5,80.5,26.34,38.0132,5.53
2549,6,80.5,27.29,38.3499,5.72
2549,7,80.7,27.73,38.0043,5.53
2549,8,80.7,27.54,37.6357,5.34
2549,9,80.4,26.05,37.4289,5.15
2549,10,80.8,24.19,37.338,5.39
2549,11,80.7,23.87,36.5437,5.33
2549,12,80.7,23.62,35.8337,5.83
2550,1,80.4,22.76,35.971,6.53
2550,2,80.1,23.1,35.7351,7.02
2550,3,80.6,23.62,35.0578,7.1
2550,4,81.3,24.83,34.8747,7.04
2550,5,82.0,25.34,34.6158,6.81
2550,6,82.0,25.34,34.5825,6.63
2550,7,82.0,25.61,33.7113,6.16
2550,8,81.5,25.44,34.1975,5.99
2550,9,82.0,26.58,34.2606,6.66
2550,10,82.7,27.47,34.1689,7.28
2550,11,83.1,28.72,33.8843,7.19
2550,12,83.1,29.07,33.7044,7.26
2551,1,83.9,29.43,33.1846,7.48
2551,2,84.4,29.27,32.6045,7.69
2551,3,84.9,30.42,31.4561,8.38
2551,4,86.3,32.11,31.5916,8.56
2551,5,88.3,35.29,32.1136,8.31
2551,6,89.1,40.86,33.2025,8.16
2551,7,89.5,42.4,33.503,9.85
2551,8,86.9,34.37,33.8556,8.58
2551,9,87.0,31.65,34.2905,7.67
2551,10,85.9,26.24,34.4285,6.69
2551,11,84.9,22.22,35.0905,6.69
2551,12,83.5,19.69,35.035,6.13
2552,1,83.5,18.61,34.9168,6.51
2552,2,84.3,19.59,35.3258,6.45
2552,3,84.7,21.01,35.7832,6.26
2552,4,85.5,23.05,35.4573,6.94
2552,5,85.3,23.84,34.5738,6.2
2552,6,85.6,26.68,34.1377,6.51
2552,7,85.6,26.96,34.0492,6.42
2552,8,85.9,28.17,34.0205,5.19
2552,9,86.1,26.83,33.8284,5.09
2552,10,86.2,26.7,33.4118,5.18
2552,11,86.5,28.19,33.284,6.08
2552,12,86.4,27.63,33.2322,6.83
2553,1,86.92,28.09,33.0353,6.93
2553,2,87.4,27.93,33.1491,7.17
2553,3,87.6,28.94,32.5077,7.61
2553,4,88.04,28.94,32.2877,8.16
2553,5,88.21,28.8,32.3946,8.32
2553,6,88.44,28.07,32.4723,8.46
2553,7,88.57,28.24,32.3265,8.74
2553,8,88.79,28.58,31.7424,8.34
2553,9,88.72,27.79,30.8341,8.09
2553,10,88.74,28.56,29.9704,7.89
2553,11,88.93,29.26,29.886,7.94
2553,12,89.07,29.89,30.1176,8.0
2554,1,89.56,29.99,30.5839,8.21
2554,2,89.92,29.99,30.7164,8.38
2554,3,90.36,29.96,30.3684,8.36
2554,4,91.6,29.99,30.0541,8.87
2554,5,91.91,29.99,30.2456,8.62
2554,6,92.03,29.99,30.5173,8.13
2554,7,92.2,29.99,30.0732,8.02
2554,8,92.6,29.51,29.8835,7.22
2554,9,92.28,27.99,30.4244,7.43
2554,10,92.46,27.83,30.8905,7.76
2554,11,92.66,28.88,30.9566,8.39
2554,12,92.22,29.12,31.2191,8.54
2555,1,92.58,30.45,31.5779,8.61
2555,2,92.92,31.31,30.7281,8.67
2555,3,93.47,32.12,30.6963,8.48
2555,4,93.86,31.99,30.8882,9.18
2555,5,94.23,30.51,31.3418,8.96
2555,6,94.39,29.58,31.6558,9.09
2555,7,94.71,29.74,31.6549,9.24
2555,8,95.09,29.89,31.4356,9.95
2555,9,95.4,29.93,30.9991,9.25
2555,10,95.53,29.79,30.6937,8.94
2555,11,95.19,29.79,30.7092,9.46
2555,12,95.56,29.79,30.6366,8.75
2556,1,95.71,29.79,30.0686,8.44
2556,2,95.92,29.95,29.8252,8.84
2556,3,95.98,29.99,29.5191,8.99
2556,4,96.13,29.99,29.0765,8.96
2556,5,96.37,29.99,29.784,8.62
2556,6,96.51,29.99,30.839,8.18
2556,7,96.61,29.99,31.1306,8.31
2556,8,96.6,29.99,31.6133,7.59
2556,9,96.76,29.99,31.7143,6.92
2556,10,96.92,29.99,31.2181,6.76
2556,11,97.02,29.99,31.6403,6.92
2556,12,97.16,29.99,32.3538,6.23
2557,1,97.56,29.99,32.943,6.11
