year,month,CPI,Diesel,THB_USD,price
2545,1,69.3,11.48,44.0215,4579.0
2545,2,69.4,11.83,43.8204,4747.0
2545,3,69.5,12.33,43.3876,4771.0
2545,4,69.9,13.42,43.4182,4861.0
2545,5,70.0,13.47,42.7939,4873.0
2545,6,69.8,12.92,42.1511,4915.0
2545,7,69.8,12.79,41.2049,4956.0
2545,8,69.8,13.12,42.1784,5170.0
2545,9,70.1,13.78,42.8223,5419.0
2545,10,70.4,14.5,43.6571,5643.0
2545,11,70.2,13.9,43.3176,4970.0
2545,12,70.2,13.94,43.2767,4770.0
2546,1,70.8,14.65,42.7711,5028.0
2546,2,70.7,14.87,42.8767,4989.0
2546,3,70.7,14.79,42.7501,5231.0
2546,4,71.0,14.66,42.8793,5183.0
2546,5,71.3,14.01,42.1477,5152.0
2546,6,71.0,12.84,41.6548,5104.0
2546,7,71.0,13.03,41.7772,5215.0
2546,8,71.4,13.64,41.6651,5300.0
2546,9,71.3,13.63,40.497,5129.0
2546,10,71.4,13.77,39.7279,5000.0
2546,11,71.5,14.08,39.9048,4975.0
2546,12,71.5,14.39,39.7113,4950.0
2547,1,71.8,14.55,39.0928,5230.0
2547,2,72.3,14.59,39.0964,5141.0
2547,3,72.5,14.59,39.4517,5000.0
2547,4,72.8,14.59,39.4415,5223.0
2547,5,73.1,14.59,40.5678,5352.0
2547,6,73.3,14.59,40.8035,5400.0
2547,7,73.4,14.59,40.9353,5498.0
2547,8,73.6,14.59,41.5032,5694.0
2547,9,73.8,14.59,41.471,5880.0
2547,10,73.8,14.59,41.3138,6187.0
2547,11,73.6,14.59,40.3416,6300.0
2547,12,73.6,14.59,39.2197,6126.0
2548,1,73.6,14.59,38.7502,6423.0
2548,2,74.0,14.74,38.4796,6568.0
2548,3,74.8,16.06,38.6061,6460.0
2548,4,75.3,18.19,39.5287,6604.0
2548,5,75.8,18.19,39.8378,6707.0
2548,6,76.0,19.19,40.9221,6715.0
2548,7,77.2,22.37,41.7628,6704.0
2548,8,77.7,22.9,41.1914,6743.0
2548,9,78.2,23.84,41.0518,6840.0
2548,10,78.5,24.05,40.9075,6900.0
2548,11,77.9,22.96,41.124,6692.0
2548,12,77.8,23.01,41.0747,6744.0
2549,1,78.0,24.17,39.6158,6696.0
2549,2,78.1,24.42,39.4094,6633.0
2549,3,79.0,25.35,38.9776,6484.0
2549,4,79.9,26.19,37.9933,6339.0
2549,5,80.5,26.34,38.0132,6277.0
2549,6,80.5,27.29,38.3499,6232.0
2549,7,80.7,27.73,38.0043,6380.0
2549,8,80.7,27.54,37.6357,6858.0
2549,9,80.4,26.05,37.4289,6759.0
2549,10,80.8,24.19,37.338,6655.0
